,Player,Span,Mat,Inns,Balls,Runs,Wkts,Ave,Econ,SR,4,5,Unnamed: 13,
3,G Goudie,(Scotland),2008-2013,16,16,729,623,23,27.08,5.12,31.6,0,1,
4,ND Hirwani,(INDIA),1988-1992,18,18,960,719,23,31.26,4.49,41.7,3,0,
5,TG Hogan,(Australia),1983-1984,16,15,917,574,23,24.95,3.75,39.8,1,0,
6,KAD Hurdle,(BMUDA),2006-2007,19,19,905,831,23,36.13,5.5,39.3,0,0,
7,Manjural Islam Rana,(Bangladesh),2003-2006,25,23,996,689,23,29.95,4.15,43.3,2,0,
8,S Mukuddem,(BMUDA),2006-2007,20,20,960,752,23,32.69,4.7,41.7,1,0,
9,BTJ Wheal,(Scotland),2016-2019,13,13,687,508,23,22.08,4.43,29.8,0,0,
10,DR Brown,(ENG/SCOT),1997-2007,25,25,953,919,22,41.77,5.78,43.3,0,0,
11,DM de Silva,(Srilanka),2016-2019,42,35,1028,899,22,40.86,5.24,46.7,0,0,
12,DR Doshi,(INDIA),1980-1982,15,15,792,524,22,23.81,3.96,36,2,0,
13,Farhad Reza,(Bangladesh),2006-2011,34,32,1139,1017,22,46.22,5.35,51.7,0,1,
14,DAS Gunaratne,(Srilanka),2016-2019,31,25,834,723,22,32.86,5.2,37.9,0,0,
15,BP Julian,(Australia),1993-1999,25,25,1146,997,22,45.31,5.21,52,0,0,
16,RN Lewis,(West Indies),1997-2009,28,25,1150,983,22,44.68,5.12,52.2,0,0,
17,ML Nkala,(Zimbabve),1998-2006,50,46,1582,1570,22,71.36,5.95,71.9,0,0,
18,E Otieno,(KENYA),2007-2014,26,25,954,927,22,42.13,5.83,43.3,1,0,
19,MW Pringle,(South Africa),1992-1994,17,17,870,604,22,27.45,4.16,39.5,1,0,
20,JE Root,(England),2013-2019,143,64,1414,1364,22,62,5.78,64.2,0,0,
21,SK Sharma,(INDIA),1988-1990,23,22,979,813,22,36.95,4.98,44.5,0,1,
22,Sohag Gazi,(Bangladesh),2012-2014,20,19,919,722,22,32.81,4.71,41.7,1,0,
23,WF Stelling,(Netherland),2006-2007,15,15,699,567,22,25.77,4.86,31.7,0,0,
24,Al0Amin Hossain,(Bangladesh),2014-2015,14,14,603,523,21,24.9,5.2,28.7,2,0,
25,JT Ball,(England),2016-2018,18,18,947,980,21,46.66,6.2,45,0,1,
26,DH Brain,(Zimbabve),1992-1995,23,23,1091,849,21,40.42,4.66,51.9,0,0,
27,AC Dawson,(South Africa),1998-2004,19,19,901,715,21,34.04,4.76,42.9,1,0,
28,RMS Eranga,(Srilanka),2011-2016,19,17,716,686,21,32.66,5.74,34,0,0,
29,CN Evans,(Zimbabve),1992-2002,53,34,964,848,21,40.38,5.27,45.9,0,0,
30,M Hayward,(South Africa),1998-2002,21,21,993,858,21,40.85,5.18,47.2,1,0,
31,NB Mahwire,(Zimbabve),2004-2006,23,21,885,775,21,36.9,5.25,42.1,0,0,
32,WP Masakadza,(Zimbabve),2015-2018,17,16,859,734,21,34.95,5.12,40.9,1,0,
33,Mohsin Kamal,(Pakistan),1984-1989,19,19,881,760,21,36.19,5.17,41.9,1,0,
34,PP Ojha,(INDIA),2008-2012,18,17,876,652,21,31.04,4.46,41.7,1,0,
35,AO Suji,(KENYA),1996-2008,60,46,1295,1175,21,55.95,5.44,61.6,0,0,
36,Wasim Raja,(Pakistan),1973-1985,54,29,1036,687,21,32.71,3.97,49.3,1,0,
37,MH Yardy,(England),2006-2011,28,28,1332,1075,21,51.19,4.84,63.4,0,0,
38,Kabir Ali,(England),2003-2006,14,13,673,682,20,34.1,6.08,33.6,1,0,
39,STR Binny,(INDIA),2014-2015,14,12,490,439,20,21.95,5.37,24.5,0,1,
40,TS Chisoro,(Zimbabve),2015-2018,18,16,768,556,20,27.8,4.34,38.4,0,0,
41,DT Christian,(Australia),2012-2014,19,19,727,595,20,29.75,4.91,36.3,0,1,
42,Faheem Ashraf,(Pakistan),2017-2019,23,22,902,744,20,37.2,4.94,45.1,0,1,
43,DR Hadlee,(Newzealand),1973-1976,11,11,628,364,20,18.2,3.47,31.4,1,0,
44,A Jadeja,(INDIA),1992-2000,196,52,1248,1094,20,54.7,5.25,62.4,0,0,
45,RT Lyons,(Scotland),2006-2010,25,23,1093,901,20,45.05,4.94,54.6,0,0,
46,N Madziva,(Zimbabve),2014-2016,12,12,520,519,20,25.95,5.98,26,1,0,
47,JO Ngoche,(KENYA),2010-2013,17,17,878,569,20,28.45,3.88,43.9,0,0,
48,KMA Paul,(West Indies),2018-2019,16,16,740,737,20,36.85,5.97,37,0,0,
49,NO Perry,(West Indies),1999-2000,21,21,946,783,20,39.15,4.96,47.3,0,0,
0,N Pokana,(PNG),2017-2019,14,14,641,503,20,25.15,4.7,32,0,0,
1,Rashid Khan,(Pakistan),1980-1985,29,28,1414,923,20,46.15,3.91,70.7,0,0,
2,DA Reeve,(England),1991-1996,29,28,1147,820,20,41,4.28,57.3,0,0,
3,Shoaib Mohammad,(Pakistan),1984-1993,63,35,919,725,20,36.25,4.73,45.9,0,0,
4,RML Taylor,(Scotland),2013-2016,15,15,713,617,20,30.85,5.19,35.6,0,0,
5,MHN Walker,(Australia),1974-1981,17,17,1006,546,20,27.3,3.25,50.3,1,0,
6,GG Arnold,(England),1972-1975,14,13,714,339,19,17.84,2.84,37.5,1,0,
7,PVD Chameera,(Srilanka),2015-2019,23,23,895,796,19,41.89,5.33,47.1,0,0,
8,TM Chappell,(Australia),1980-1983,20,14,736,538,19,28.31,4.38,38.7,0,0,
9,Enamul Haque,(Bangladesh),1990-2002,29,28,1238,1083,19,57,5.24,65.1,0,0,
10,AW Greig,(England),1972-1977,22,19,916,619,19,32.57,4.05,48.2,1,0,
11,VA Holder,(West Indies),1973-1978,12,12,681,454,19,23.89,4,35.8,0,1,
12,RD Jackman,(England),1974-1983,15,15,873,598,19,31.47,4.1,45.9,0,0,
13,DS Kulkarni,(INDIA),2014-2016,12,12,598,508,19,26.73,5.09,31.4,1,0,
14,MA Leask,(Scotland),2014-2019,34,31,1142,1019,19,53.63,5.35,60.1,1,0,
15,BJ McKechnie,(Newzealand),1975-1981,14,14,818,495,19,26.05,3.63,43,0,0,
16,JN Maguire,(Australia),1983-1984,23,20,1009,769,19,40.47,4.57,53.1,0,0,
17,Mohammad Akram,(Pakistan),1995-2000,23,21,989,790,19,41.57,4.79,52,0,0,
18,Mushfiqur Rahman,(Bangladesh),2000-2004,28,28,1332,983,19,51.73,4.42,70.1,0,0,
19,PDRL Perera,(Srilanka),1999-2007,19,19,888,820,19,43.15,5.54,46.7,0,0,
20,Shahid Nazir,(Pakistan),1996-2000,17,17,810,649,19,34.15,4.8,42.6,0,0,
21,T Shamsi,(South Africa),2016-2019,17,17,879,798,19,42,5.44,46.2,1,0,
22,M Sheikh,(KENYA),1997-2000,21,21,778,625,19,32.89,4.82,40.9,1,0,
23,Sohail Khan,(Pakistan),2008-2016,13,13,666,597,19,31.42,5.37,35,0,1,
24,Tanwir Afzal,(HKG),2014-2018,20,19,852,601,19,31.63,4.23,44.8,0,0,
25,AJ Traicos,(Zimbabve),1983-1993,27,26,1524,987,19,51.94,3.88,80.2,0,0,
26,PCR Tufnell,(England),1990-1997,20,20,1020,699,19,36.78,4.11,53.6,1,0,
27,Anwar Ali,(Pakistan),2013-2016,22,22,927,944,18,52.44,6.11,51.5,0,0,
28,GD Campbell,(Australia),1989-1990,12,12,613,404,18,22.44,3.95,34,0,0,
29,RO Collinge,(Newzealand),1973-1978,15,15,859,479,18,26.61,3.34,47.7,0,1,
30,MD Dai,(PNG),2014-2018,18,18,954,675,18,37.5,4.24,53,0,0,
31,DR Gilbert,(Australia),1986-1986,14,14,684,552,18,30.66,4.84,38,0,1,
32,DJ Hussey,(Australia),2008-2013,69,39,802,698,18,38.77,5.22,44.5,2,0,
33,BD Julien,(West Indies),1973-1977,12,12,778,463,18,25.72,3.57,43.2,2,0,
34,AP Kuiper,(South Africa),1991-1996,25,19,588,518,18,28.77,5.28,32.6,0,0,
35,J Lewis,(England),2005-2007,13,13,716,500,18,27.77,4.18,39.7,1,0,
36,CS Martin,(Newzealand),2001-2008,20,19,948,804,18,44.66,5.08,52.6,0,0,
37,Mohammad Ashraful,(Bangladesh),2001-2013,177,40,697,661,18,36.72,5.69,38.7,0,0,
38,B Muzarabani,(Zimbabve),2018-2018,18,18,786,733,18,40.72,5.59,43.6,1,0,
39,MV Nagamootoo,(West Indies),2000-2002,24,24,1189,998,18,55.44,5.03,66,1,0,
40,AH Omarshah,(Zimbabve),1983-1996,28,25,1077,812,18,45.11,4.52,59.8,0,0,
41,Rahat Ali,(Pakistan),2012-2016,14,14,679,658,18,36.55,5.81,37.7,0,0,
42,KT Sandher,(CAN),2006-2007,15,15,696,569,18,31.61,4.9,38.6,0,0,
43,GC Smith,(South Africa),2002-2013,197,43,1026,951,18,52.83,5.56,57,0,0,
44,CB Sole,(Scotland),2016-2018,11,11,522,468,18,26,5.37,29,2,0,
45,RE van der Merwe,(NL/SA),2009-2019,15,15,789,658,18,36.55,5,43.8,0,0,
46,KC Wessels,(AUS/SA),1983-1994,109,23,749,666,18,37,5.33,41.6,0,0,
47,AG Wharf,(England),2004-2005,13,13,584,428,18,23.77,4.39,32.4,1,0,
48,LR Williams,(West Indies),1996-2001,15,15,659,556,18,30.88,5.06,36.6,0,0,
49,Adeel Raja,(Netherland),2002-2011,21,21,846,690,17,40.58,4.89,49.7,1,0,
0,DJ Capel,(England),1987-1990,23,22,1038,805,17,47.35,4.65,61,0,0,
1,EAR de Silva,(Srilanka),1986-1992,28,28,1374,967,17,56.88,4.22,80.8,0,0,
2,MV Fleming,(England),1997-1998,11,11,523,434,17,25.52,4.97,30.7,1,0,
3,HH Kanitkar,(INDIA),1997-2000,34,28,1006,803,17,47.23,4.78,59.1,0,0,
4,JJC Lawson,(West Indies),2001-2005,13,12,558,498,17,29.29,5.35,32.8,1,0,
5,Mohammad Nawaz,3,(Pakistan),201602019,15,15,699,607,17,35.7,5.21,41.1,1,0
6,J Nyumbu,(Zimbabve),2014-2015,19,18,844,738,17,43.41,5.24,49.6,0,0,
7,PADLR Sandakan,(Srilanka),2016-2019,21,20,961,1031,17,60.64,6.43,56.5,1,0,
8,A Shahzad,(England),2010-2011,11,11,588,490,17,28.82,5,34.5,0,0,
9,PM Siddle,(Australia),2009-2019,20,19,901,743,17,43.7,4.94,53,0,0,
10,J Theron,(SA/USA),2010-2019,9,9,412,379,17,22.29,5.51,24.2,0,1,
11,Aizaz Khan,(HKG),2014-2018,19,19,728,680,16,42.5,5.6,45.5,0,0,
12,Asif Iqbal,(Pakistan),1973-1979,10,10,592,378,16,23.62,3.83,37,1,0,
13,JP Behrendorff,(Australia),2019-2019,11,11,591,517,16,32.31,5.24,36.9,0,1,
14,SM Boland,(Australia),2016-2016,14,13,716,725,16,45.31,6.07,44.7,0,0,
15,GR Codrington,(CAN),2006-2007,17,17,731,577,16,36.06,4.73,45.6,1,0,
16,CD de Lange,(Scotland),2016-2017,13,12,546,371,16,23.18,4.07,34.1,0,1,
17,Ehsan Nawaz,(HKG),2014-2018,12,12,513,458,16,28.62,5.35,32,2,0,
18,GJ Gilmour,(Australia),1974-1975,5,5,320,165,16,10.31,3.09,20,0,2,
19,PJC Hoffmann,(Scotland),2006-2007,18,17,743,555,16,34.68,4.48,46.4,0,0,
20,SHU Karnain,(Srilanka),1984-1990,19,14,635,505,16,31.56,4.77,39.6,0,1,
21,DE Malcolm,(England),1990-1994,10,10,526,404,16,25.25,4.6,32.8,0,0,
22,S Matsikenyeri,(Zimbabve),2002-2015,113,38,920,778,16,48.62,5.07,57.5,0,0,
23,JL Pattinson,(Australia),2011-2015,15,15,727,681,16,42.56,5.62,45.4,1,0,
24,BS Sandhu,(INDIA),1982-1984,22,21,1110,763,16,47.68,4.12,69.3,0,0,
25,RR Sarwan,(West Indies),2000-2013,181,25,581,586,16,36.62,6.05,36.3,0,0,
26,MC Sorensen,(Ireland),2013-2016,13,12,543,520,16,32.5,5.74,33.9,1,0,
27,RJW Topley,(England),2015-2016,10,10,463,410,16,25.62,5.31,28.9,1,0,
28,RJ Trott,(BMUDA),2007-2009,11,11,537,412,16,25.75,4.6,33.5,1,0,
29,MP Vaughan,(England),2001-2007,86,28,796,649,16,40.56,4.89,49.7,1,0,
30,R Vijay Bharadwaj,(INDIA),1999-2002,10,9,372,307,16,19.18,4.95,23.2,0,0,
31,Zakir Khan,(Pakistan),1984-1990,17,16,646,494,16,30.87,4.58,40.3,1,0,
32,MR Adair,(Ireland),2019-2019,9,9,484,509,15,33.93,6.3,32.2,2,0,
33,KK Ahmed,(INDIA),2018-2019,11,11,480,465,15,31,5.81,32,0,0,
34,PJW Allott,(England),1982-1985,13,13,819,552,15,36.8,4.04,54.6,0,0,
35,CJA Amini,(PNG),2014-2019,15,15,732,560,15,37.33,4.59,48.8,1,0,
36,Azeem Hafeez,(Pakistan),1983-1985,15,14,719,586,15,39.06,4.89,47.9,1,0,
37,SL Boock,(Newzealand),1978-1987,14,13,700,513,15,34.2,4.39,46.6,0,0,
38,DCC Borden,(BMUDA),2006-2008,12,12,411,392,15,26.13,5.72,27.4,1,0,
39,Danish Kaneria,(Pakistan),2001-2007,18,18,854,683,15,45.53,4.79,56.9,0,0,
40,G Dymock,(Australia),1974-1980,15,14,806,412,15,27.46,3.06,53.7,0,0,
41,TCB Fernando,(Srilanka),2001-2003,17,17,700,586,15,39.06,5.02,46.6,0,1,
42,KD Ghavri,(INDIA),1975-1981,19,19,1033,708,15,47.2,4.11,68.8,0,0,
43,S Lamichhane,(NEPAL),2018-2019,6,6,319,222,15,14.8,4.17,21.2,2,0,
44,NC McGarrell,(West Indies),1998-2001,17,17,859,681,15,45.4,4.75,57.2,0,0,
45,KH MacLeay,(Australia),1983-1987,16,16,857,626,15,41.73,4.38,57.1,0,1,
46,GH O'Brien,(BMUDA),2006-2008,9,9,456,405,15,27,5.32,30.4,0,0,
47,SS Pathirana,(Srilanka),2015-2017,18,18,765,720,15,48,5.64,51,0,0,
48,SM Patil,(INDIA),1980-1986,45,20,864,589,15,39.26,4.09,57.6,0,0,
49,Rajin Saleh,(Bangladesh),2003-2006,43,19,539,459,15,30.6,5.1,35.9,1,0,
0,AK Sharma,(INDIA),1988-1993,31,29,1140,875,15,58.33,4.6,76,0,0,
1,L Sivaramakrishnan,(INDIA),1985-1987,16,16,756,538,15,35.86,4.26,50.4,0,0,
2,CT Tremlett,(England),2005-2011,15,15,784,705,15,47,5.39,52.2,1,0,
3,JTC Vaughan,(Newzealand),1992-1996,18,17,696,524,15,34.93,4.51,46.4,1,0,
4,UWMBCA Welegedara,(Srilanka),2009-2010,10,9,457,433,15,28.86,5.68,30.4,0,1,
5,LJ Wright,(England),2007-2014,50,37,1038,884,15,58.93,5.1,69.2,0,0,
6,JO Angara,(KENYA),1997-2003,17,15,588,569,14,40.64,5.8,42,0,0,
7,Anshuman Rath,(HKG),2014-2018,18,7,337,167,14,11.92,2.97,24,0,0,
8,F Behardien,(South Africa),2013-2018,59,35,748,719,14,51.35,5.76,53.4,0,0,
9,DE Bernard,(West Indies),2003-2010,20,17,624,526,14,37.57,5.05,44.5,0,0,
10,GS Blewett,(Australia),1995-1999,32,24,749,646,14,46.14,5.17,53.5,0,0,
11,S Chanderpaul,(West Indies),1994-2011,268,28,740,636,14,45.42,5.15,52.8,0,0,
12,GJ Cosier,(Australia),1975-1979,9,8,409,248,14,17.71,3.63,29.2,0,1,
13,JWM Dalrymple,(England),2006-2007,27,23,840,666,14,47.57,4.75,60,0,0,
14,Enamul Haque jnr,(Bangladesh),2005-2009,10,10,576,422,14,30.14,4.39,41.1,0,0,
15,UC Hathurusingha,(Srilanka),1992-1999,35,25,954,709,14,50.64,4.45,68.1,1,0,
16,Jalal0ud0Din,(Pakistan),1982-1983,8,7,306,211,14,15.07,4.13,21.8,1,0,
17,SKW Kelly,(BMUDA),2006-2009,10,10,389,371,14,26.5,5.72,27.7,0,0,
18,D Mongia,(INDIA),2001-2007,57,21,640,571,14,40.78,5.35,45.7,0,0,
19,Mosaddek Hossain,(Bangladesh),2016-2019,35,33,902,787,14,56.21,5.23,64.4,0,0,
20,A Nao,(PNG),2017-2019,13,13,613,495,14,35.35,4.84,43.7,0,0,
21,JD Nel,(Scotland),2006-2010,19,19,730,649,14,46.35,5.33,52.1,1,0,
22,IE O'Brien,(Newzealand),2008-2009,10,10,453,488,14,34.85,6.46,32.3,0,0,
23,Rahmat Shah,(Afghanistan),2013-2019,73,26,524,504,14,36,5.77,37.4,0,1,
24,Rumman Raees,(Pakistan),2017-2018,9,9,463,464,14,33.14,6.01,33,0,0,
25,JA Snow,(England),1971-1975,9,8,538,232,14,16.57,2.58,38.4,2,0,
26,Sohrawordi Shuvo,(Bangladesh),2010-2011,17,17,762,572,14,40.85,4.5,54.4,0,0,
27,SA Ankola,(INDIA),1989-1997,20,20,807,615,13,47.3,4.57,62,0,0,
28,MP Bicknell,(England),1990-1991,7,7,413,347,13,26.69,5.04,31.7,0,0,
29,KD Boyce,(West Indies),1973-1975,8,8,470,313,13,24.07,3.99,36.1,1,0,
30,ST Clarke,(West Indies),1978-1982,10,10,524,245,13,18.84,2.8,40.3,0,0,
31,PC Connell,(Ireland),2008-2010,13,12,564,518,13,39.84,5.51,43.3,0,0,
32,TLW Cooper,(Netherland),2010-2013,23,19,553,438,13,33.69,4.75,42.5,0,0,
33,PWH de Silva,(Srilanka),2017-2019,12,12,403,429,13,33,6.38,31,0,0,
34,Hamza Tahir,(Scotland),2019-2019,6,6,338,228,13,17.53,4.04,26,1,1,
35,MN Hart,(Newzealand),1994-2002,13,12,572,373,13,28.69,3.91,44,0,1,
36,RS Higgins,(Zimbabve),2006-2006,11,11,544,380,13,29.23,4.19,41.8,1,0,
37,Ijaz Faqih,(Pakistan),1980-1988,27,25,1116,819,13,63,4.4,85.8,1,0,
38,CBRLS Kumara,(Srilanka),2017-2019,13,13,544,623,13,47.92,6.87,41.8,0,0,
39,Majid Khan,(Pakistan),1973-1982,23,15,658,374,13,28.76,3.41,50.6,0,0,
40,AD Mascarenhas,(England),2007-2009,20,20,822,634,13,48.76,4.62,63.2,0,0,
41,Minhajul Abedin,(Bangladesh),1986-1999,27,18,546,511,13,39.3,5.61,42,0,0,
42,Mohammad Hussain,(Pakistan),1997-1998,14,13,672,547,13,42.07,4.88,51.6,1,0,
43,SN Netravalkar,(USA),2019-2019,9,9,403,210,13,16.15,3.12,31,0,1,
44,ASA Perera,(Srilanka),1998-2001,20,18,579,522,13,40.15,5.4,44.5,0,0,
45,MDK Perera,(Srilanka),2007-2018,13,10,456,409,13,31.46,5.38,35,0,0,
46,DJ Reekers,(Netherland),2006-2009,19,13,510,436,13,33.53,5.12,39.2,0,0,
47,JB Reva,(PNG),2016-2018,9,9,405,357,13,27.46,5.28,31.1,0,0,
48,Sharafuddin Ashraf,(Afghanistan),2014-2019,17,17,764,559,13,43,4.39,58.7,0,0,
49,JN Snape,(England),2001-2002,10,10,529,403,13,31,4.57,40.6,0,0,
0,Sompal Kami,(NEPAL),2018-2019,6,6,301,247,13,19,4.92,23.1,0,1,
1,Tareq Aziz,(Bangladesh),2002-2004,10,10,465,424,13,32.61,5.47,35.7,0,0,
2,S Thuraisingam,(CAN),2003-2008,10,10,421,305,13,23.46,4.34,32.3,1,0,
3,JJ Tucker,(BMUDA),2006-2009,26,21,819,701,13,53.92,5.13,63,0,0,
4,JJ van der Wath,(South Africa),2006-2007,10,10,526,551,13,42.38,6.28,40.4,0,0,
5,P Willey,(England),1977-1986,26,22,1031,659,13,50.69,3.83,79.3,0,0,
6,P Wilson,(Australia),1997-1998,11,11,562,450,13,34.61,4.8,43.2,0,0,
7,Aftab Ahmed,(Bangladesh),2004-2010,85,30,739,656,12,54.66,5.32,61.5,0,1,
8,Ahsan Malik,(Netherland),2011-2014,12,11,471,408,12,34,5.19,39.2,0,0,
9,M Azharuddin,(INDIA),1985-2000,334,24,552,479,12,39.91,5.2,46,0,0,
10,WD Balaji Rao,(CAN),2008-2011,10,10,474,448,12,37.33,5.67,39.5,1,0,
11,HR Bryan,(West Indies),1999-1999,15,15,722,518,12,43.16,4.3,60.1,1,0,
12,IP Butchart,(Zimbabve),1983-1995,20,16,702,640,12,53.33,5.47,58.5,0,0,
13,ADR Campbell,(Zimbabve),1992-2003,188,30,509,434,12,36.16,5.11,42.4,0,0,
14,PA Desai,(CAN),2010-2014,13,13,612,485,12,40.41,4.75,51,0,0,
15,AB Dinda,(INDIA),2010-2013,13,13,594,612,12,51,6.18,49.5,0,0,
16,H Durham,(BMUDA),2006-2006,9,8,400,343,12,28.58,5.14,33.3,1,0,
17,AM Ellis,(Newzealand),2012-2013,15,13,480,425,12,35.41,5.31,40,0,0,
18,RM Ellison,(England),1984-1986,14,14,696,510,12,42.5,4.39,58,0,0,
19,AM Guruge,(UAE),2014-2015,7,7,351,337,12,28.08,5.76,29.2,1,0,
20,TM Head,(Australia),2016-2018,42,26,765,737,12,61.41,5.78,63.7,0,0,
21,PA Hitchcock,(Newzealand),2002-2008,14,12,558,468,12,39,5.03,46.5,0,0,
22,AG Hurst,(Australia),1975-1979,8,7,402,203,12,16.91,3.02,33.5,0,1,
23,Iqbal Qasim,(Pakistan),1977-1988,15,14,664,500,12,41.66,4.51,55.3,0,0,
24,Kabir Khan,(Pakistan),1994-2000,10,9,371,303,12,25.25,4.9,30.9,0,0,
25,TP Kamungozi,(Zimbabve),2006-2015,14,13,636,548,12,45.66,5.16,53,0,0,
26,Khurram Khan,(UAE),2004-2015,16,11,498,432,12,36,5.2,41.5,1,0,
27,RK Kleinveldt,(South Africa),2013-2013,10,10,513,448,12,37.33,5.23,42.7,1,0,
28,CM Kuggeleijn,(Newzealand),1988-1989,16,16,817,604,12,50.33,4.43,68,0,0,
29,GA Lamb,(Zimbabve),2010-2011,15,15,642,467,12,38.91,4.36,53.5,0,0,
30,SG Law,(Australia),1994-1999,54,25,807,635,12,52.91,4.72,67.2,0,0,
31,RJ McCurdy,(Australia),1985-1985,11,11,515,375,12,31.25,4.36,42.9,0,0,
32,DR Martyn,(Australia),1992-2006,208,31,794,704,12,58.66,5.31,66.1,0,0,
33,SF Mire,(Zimbabve),2014-2019,47,19,507,515,12,42.91,6.09,42.2,1,0,
34,SO Ngoche,(KENYA),2010-2014,14,13,569,431,12,35.91,4.54,47.4,0,0,
35,MA Parker,(Scotland),2010-2010,10,10,414,327,12,27.25,4.73,34.5,1,0,
36,RG Petrie,(Newzealand),1990-1991,12,12,660,449,12,37.41,4.08,55,0,0,
37,PWE Rawson,(Zimbabve),1983-1987,10,10,571,427,12,35.58,4.48,47.5,0,0,
38,JD Ryder,(Newzealand),2008-2014,48,19,407,412,12,34.33,6.07,33.9,0,0,
39,Simi Singh,(Ireland),2017-2019,15,12,570,378,12,31.5,3.97,47.5,0,0,
40,SR Thompson,(Ireland),2013-2017,20,16,559,490,12,40.83,5.25,46.5,0,0,
41,AJ Tye,(Australia),2018-2018,7,7,387,392,12,32.66,6.07,32.2,0,1,
42,I Udana,(Srilanka),2012-2019,15,15,639,631,12,52.58,5.92,53.2,0,0,
43,KEA Upashantha,(Srilanka),1995-2001,12,12,564,481,12,40.08,5.11,47,1,0,
44,RR Watson,(Scotland),2006-2010,35,17,570,528,12,44,5.55,47.5,0,0,
45,CL White,(Australia),2005-2018,91,19,331,351,12,29.25,6.36,27.5,0,0,
46,PJ Wiseman,(Newzealand),1998-2003,15,13,450,368,12,30.66,4.9,37.5,1,0,
47,Aamer Nazir,(Pakistan),1993-1995,9,9,417,346,11,31.45,4.97,37.9,0,0,
48,VR Aaron,(INDIA),2011-2014,9,9,380,419,11,38.09,6.61,34.5,0,0,
49,RW Ali,(KENYA),1996-1997,9,9,338,255,11,23.18,4.52,30.7,0,0,
0,Amir Hayat,(UAE),2018-2019,9,9,449,382,11,34.72,5.1,40.8,0,0,
1,LS Baker,(West Indies),2008-2009,10,9,426,355,11,32.27,5,38.7,0,0,
2,RL Chase,(West Indies),2017-2019,25,18,641,511,11,46.45,4.78,58.2,0,0,
3,R Clarke,(England),2003-2006,20,14,469,415,11,37.72,5.3,42.6,0,0,
4,HT Davis,(Newzealand),1994-1997,11,11,432,436,11,39.63,6.05,39.2,1,0,
5,Z Groenewald,(NAM),2019-2019,4,4,198,130,11,11.81,3.93,18,0,1,
6,HF Gurney,(England),2014-2014,10,10,455,432,11,39.27,5.69,41.3,1,0,
7,Haris Sohail,(Pakistan),2013-2019,41,21,642,613,11,55.72,5.72,58.3,0,0,
8,Haseeb Amjad,(HKG),2014-2016,7,7,342,288,11,26.18,5.05,31,0,0,
9,DW Headley,(England),1996-1999,13,13,594,520,11,47.27,5.25,54,0,0,
10,HJ Howarth,(Newzealand),1973-1975,9,8,492,280,11,25.45,3.41,44.7,0,0,
11,RL Johnson,(England),2003-2003,10,9,402,239,11,21.72,3.56,36.5,0,0,
12,CL King,(West Indies),1976-1980,18,15,744,529,11,48.09,4.26,67.6,1,0,
13,NM Kulkarni,(INDIA),1997-1998,10,8,402,357,11,32.45,5.32,36.5,0,0,
14,RT Latham,(Newzealand),1990-1994,33,21,450,386,11,35.09,5.14,40.9,0,1,
15,P Lever,(England),1971-1975,10,9,440,261,11,23.72,3.55,40,1,0,
16,AA Mallett,(Australia),1971-1975,9,9,502,341,11,31,4.07,45.6,0,0,
17,MF Malone,(Australia),1977-1982,10,10,612,315,11,28.63,3.08,55.6,0,0,
18,A Martin,(West Indies),2011-2011,9,9,444,296,11,26.9,4,40.3,1,0,
19,EZ Matambanadzo,(Zimbabve),1996-1997,7,7,297,217,11,19.72,4.38,27,1,0,
20,M Mbangwa,(Zimbabve),1996-2002,29,29,1369,1140,11,103.63,4.99,124.4,0,0,
21,DR Parry,(West Indies),1978-1980,6,6,330,259,11,23.54,4.7,30,0,0,
22,RL Powell,(West Indies),1999-2005,109,25,473,491,11,44.63,6.22,43,0,0,
23,TT Samaraweera,(Srilanka),1998-2011,53,17,702,542,11,49.27,4.63,63.8,0,0,
24,Shafiuddin Ahmed,(Bangladesh),1997-2000,11,11,495,426,11,38.72,5.16,45,0,0,
25,DLS van Bunge,(Netherland),2002-2013,37,13,331,329,11,29.9,5.96,30,0,0,
26,A van der Merwe,(Ireland),2010-2011,9,9,432,323,11,29.36,4.48,39.2,0,1,
27,JDF Vandersay,(Srilanka),2015-2019,12,11,491,480,11,43.63,5.86,44.6,0,0,
28,AS Wassan,(INDIA),1990-1991,9,9,426,283,11,25.72,3.98,38.7,0,0,
29,M Zondeki,(South Africa),2002-2008,13,12,558,504,11,45.81,5.41,50.7,0,0,
30,MW Alleyne,(England),1999-2000,10,9,366,280,10,28,4.59,36.6,0,0,
31,MA Aponso,(Srilanka),2016-2018,9,9,423,377,10,37.7,5.34,42.3,1,0,
32,TD Astle,(Newzealand),2017-2019,9,8,270,246,10,24.6,5.46,27,0,0,
33,DJ Callaghan,(South Africa),1992-2000,29,19,444,365,10,36.5,4.93,44.4,0,0,
34,A Codrington,(CAN),2003-2007,9,8,300,265,10,26.5,5.3,30,0,1,
35,M de Lange,(South Africa),2012-2016,4,4,209,198,10,19.8,5.68,20.9,1,0,
36,R Dhanraj,(West Indies),1994-1995,6,5,264,170,10,17,3.86,26.4,1,0,
37,JN Frylinck,(NAM),2019-2019,5,5,195,116,10,11.6,3.56,19.5,0,1,
38,MW Gatting,(England),1977-1993,92,14,392,336,10,33.6,5.14,39.2,0,0,
39,NG Jones,(Ireland),2010-2011,14,13,389,234,10,23.4,3.6,38.9,0,0,
40,Khawar Ali,(OMAN),2019-2019,5,5,258,188,10,18.8,4.37,25.8,1,0,
